recv[253] = -0.849185, LLR [253] = 0.000000
recv[254] = 0.854337, LLR [254] = 0.000000
recv[255] = 1.096944, LLR [255] = 0.000000
recv[256] = 0.882127, LLR [256] = 0.000000
recv[257] = -0.990509, LLR [257] = 0.000000
recv[258] = 0.839279, LLR [258] = 0.000000
recv[259] = -0.959454, LLR [259] = 0.000000
recv[260] = -0.987715, LLR [260] = 0.000000
recv[261] = -1.099041, LLR [261] = 0.000000
recv[262] = -1.016424, LLR [262] = 0.000000
recv[263] = 0.983071, LLR [263] = 0.000000
recv[264] = -1.049772, LLR [264] = 0.000000
recv[265] = -1.077400, LLR [265] = 0.000000
recv[266] = -1.116729, LLR [266] = 0.000000
recv[267] = 1.055190, LLR [267] = 0.000000
recv[268] = 1.169815, LLR [268] = 0.000000
recv[269] = -0.875567, LLR [269] = 0.000000
recv[270] = 1.005635, LLR [270] = 0.000000
recv[271] = 1.105361, LLR [271] = 0.000000
recv[272] = 1.267848, LLR [272] = 0.000000
recv[273] = -1.003509, LLR [273] = 0.000000
recv[274] = 1.046344, LLR [274] = 0.000000
recv[275] = -0.903593, LLR [275] = 0.000000
recv[276] = -0.993828, LLR [276] = 0.000000
recv[277] = -1.075118, LLR [277] = 0.000000
recv[278] = 1.162827, LLR [278] = 0.000000
recv[279] = -1.008173, LLR [279] = 0.000000
recv[280] = 1.142549, LLR [280] = 0.000000
recv[281] = -1.143945, LLR [281] = 0.000000
recv[282] = -0.979726, LLR [282] = 0.000000
recv[283] = 1.134406, LLR [283] = 0.000000
recv[284] = 1.140290, LLR [284] = 0.000000
recv[285] = -1.087586, LLR [285] = 0.000000
recv[286] = 1.021834, LLR [286] = 0.000000
recv[287] = -1.117948, LLR [287] = 0.000000
recv[288] = 0.932610, LLR [288] = 0.000000
recv[289] = -0.980689, LLR [289] = 0.000000
recv[290] = 0.801447, LLR [290] = 0.000000
recv[291] = 0.942558, LLR [291] = 0.000000
recv[292] = 1.047179, LLR [292] = 0.000000
recv[293] = 0.876279, LLR [293] = 0.000000
recv[294] = 0.992021, LLR [294] = 0.000000
recv[295] = -1.054627, LLR [295] = 0.000000
recv[296] = 1.032580, LLR [296] = 0.000000
recv[297] = -0.864397, LLR [297] = 0.000000
recv[298] = 1.112793, LLR [298] = 0.000000
recv[299] = -0.965174, LLR [299] = 0.000000
recv[300] = 1.049938, LLR [300] = 0.000000
recv[301] = 1.027322, LLR [301] = 0.000000
recv[302] = 0.976302, LLR [302] = 0.000000
recv[303] = 0.939828, LLR [303] = 0.000000
recv[304] = 0.962592, LLR [304] = 0.000000
recv[305] = 1.068539, LLR [305] = 0.000000
